k = 11
# m=1000000, E[load]=(w/(1+w))=0.916667, Kmax(sim. dels.)=16777216
#m n K freeFraction successfull unsuccessfull E[Load] k
1000000 0.006792 1 0.993208 1.00339 1.00686 0.916667 11
1000000 0.0098 2 0.9902 1.00469 1.00994 0.916667 11
1000000 0.011613 4 0.988387 1.00508 1.01182 0.916667 11
1000000 0.017708 8 0.982292 1.00932 1.01818 0.916667 11
1000000 0.022467 16 0.977533 1.01122 1.02324 0.916667 11
1000000 0.026776 32 0.973224 1.01359 1.02791 0.916667 11
1000000 0.036953 64 0.963046 1.01908 1.03912 0.916667 11
1000000 0.053716 128 0.946279 1.02886 1.05848 0.916667 11
1000000 0.077868 256 0.922121 1.04174 1.08811 0.916667 11
1000000 0.102707 512 0.897254 1.05766 1.12127 0.916667 11
1000000 0.141035 1024 0.858867 1.083 1.17809 0.916667 11
1000000 0.195289 2048 0.804464 1.12356 1.27357 0.916667 11
1000000 0.269657 4096 0.729678 1.1883 1.44034 0.916667 11
1000000 0.365111 8192 0.633112 1.29525 1.74919 0.916667 11
1000000 0.47763 16384 0.517889 1.47997 2.36761 0.916667 11
1000000 0.608142 32768 0.381357 1.83915 3.94409 0.916667 11
1000000 0.743139 65536 0.235092 2.66075 9.34118 0.916667 11
1000000 0.851134 131072 0.111125 4.75622 33.1043 0.916667 11
1000000 0.905623 262144 0.037222 9.53248 142.896 0.916667 11
1000000 0.916377 524288 0.007114 18.269 658.919 0.916667 11
1000000 0.916362 1048576 0.000469 32.2804 7024.56 0.916667 11
1000000 0.916437 2097152 0.000297 40.2091 12793.5 0.916667 11
1000000 0.917003 4194304 0.00017 48.1027 23174.5 0.916667 11
1000000 0.916404 8388608 0.000132 53.2072 29834.1 0.916667 11
1000000 0.916571 16777215 5.7e-05 55.6743 43319.8 0.916667 11
