k = 49
# m=1000000, E[load]=(w/(1+w))=0.98, Kmax(sim. dels.)=2097152
#m n K freeFraction successfull unsuccessfull E[Load] k
1000000 0.009802 1 0.990198 1.0052 1.00995 0.98 49
1000000 0.015502 2 0.984498 1.00813 1.01588 0.98 49
1000000 0.018881 4 0.981119 1.00943 1.01941 0.98 49
1000000 0.023916 8 0.976082 1.01133 1.02476 0.98 49
1000000 0.034796 16 0.965202 1.01759 1.03669 0.98 49
1000000 0.054161 32 0.945837 1.02821 1.05894 0.98 49
1000000 0.08019 64 0.919806 1.04271 1.091 0.98 49
1000000 0.108334 128 0.891658 1.05985 1.12877 0.98 49
1000000 0.145816 256 0.854162 1.08473 1.18488 0.98 49
1000000 0.206736 512 0.79319 1.12957 1.29421 0.98 49
1000000 0.285571 1024 0.714238 1.19948 1.47887 0.98 49
1000000 0.387751 2048 0.611756 1.31758 1.83382 0.98 49
1000000 0.503378 4096 0.495419 1.51022 2.53924 0.98 49
1000000 0.644082 8192 0.353271 1.91867 4.51157 0.98 49
1000000 0.789206 16384 0.205405 2.93077 12.1564 0.98 49
1000000 0.906733 32768 0.084823 6.22467 64.7894 0.98 49
1000000 0.966909 65536 0.022898 18.4642 588.338 0.98 49
1000000 0.979396 131072 0.005751 40.516 2942.64 0.98 49
1000000 0.980061 262144 0.000932 72.2507 8974.74 0.98 49
1000000 0.979952 524288 4.4e-05 133.291 128944 0.98 49
1000000 0.979845 1048576 0 231.568 1e+06 0.98 49
1000000 0.979892 2097151 0 283.065 1e+06 0.98 49
