k = 4
# m=1000000, E[load]=(w/(1+w))=0.8, Kmax(sim. dels.)=16777216
#m n K freeFraction successfull unsuccessfull E[Load] k
1000000 0.000592 1 0.999408 1 1.00059 0.8 4
1000000 0.004242 2 0.995758 1.00189 1.00426 0.8 4
1000000 0.005451 4 0.994549 1.00202 1.00548 0.8 4
1000000 0.009788 8 0.990212 1.00398 1.00992 0.8 4
1000000 0.012324 16 0.987676 1.00576 1.01253 0.8 4
1000000 0.016086 32 0.983914 1.00752 1.01644 0.8 4
1000000 0.022636 64 0.977364 1.01113 1.02337 0.8 4
1000000 0.031517 128 0.968482 1.0158 1.03302 0.8 4
1000000 0.043867 256 0.956131 1.02318 1.04683 0.8 4
1000000 0.062721 512 0.937259 1.03386 1.0691 0.8 4
1000000 0.087823 1024 0.912118 1.04877 1.10093 0.8 4
1000000 0.120185 2048 0.879645 1.06909 1.14626 0.8 4
1000000 0.165204 4096 0.834375 1.10284 1.21907 0.8 4
1000000 0.228968 8192 0.769874 1.15647 1.34577 0.8 4
1000000 0.310891 16384 0.686024 1.24349 1.56914 0.8 4
1000000 0.410295 32768 0.581945 1.38707 1.99184 0.8 4
1000000 0.52366 65536 0.457713 1.65394 2.92851 0.8 4
1000000 0.641337 131072 0.317622 2.18895 5.45615 0.8 4
1000000 0.737883 262144 0.182355 3.34998 13.6872 0.8 4
1000000 0.789443 524288 0.079642 5.71088 42.7928 0.8 4
1000000 0.79946 1048576 0.03039 9.13421 128.889 0.8 4
1000000 0.7994 2097152 0.023059 10.6638 177.435 0.8 4
1000000 0.800516 4194304 0.020362 11.3256 205.663 0.8 4
1000000 0.800438 8388608 0.020096 11.3729 211.351 0.8 4
1000000 0.799509 16777215 0.020094 11.4503 207.368 0.8 4
