k = 21
# m=1000000, E[load]=(w/(1+w))=0.954545, Kmax(sim. dels.)=16777216
#m n K freeFraction successfull unsuccessfull E[Load] k
1000000 0.006792 1 0.993208 1.00427 1.00686 0.954545 21
1000000 0.0098 2 0.9902 1.00612 1.00995 0.954545 21
1000000 0.015498 4 0.984501 1.00865 1.01586 0.954545 21
1000000 0.018873 8 0.981126 1.01081 1.01944 0.954545 21
1000000 0.025998 16 0.974001 1.01381 1.02707 0.954545 21
1000000 0.035866 32 0.964132 1.0181 1.03788 0.954545 21
1000000 0.053841 64 0.946157 1.02792 1.05851 0.954545 21
1000000 0.07768 128 0.922313 1.04127 1.08779 0.954545 21
1000000 0.100535 256 0.899443 1.05515 1.11805 0.954545 21
1000000 0.138381 512 0.861564 1.07952 1.17358 0.954545 21
1000000 0.192098 1024 0.807775 1.11984 1.26647 0.954545 21
1000000 0.263189 2048 0.736454 1.18016 1.42109 0.954545 21
1000000 0.360439 4096 0.638661 1.28458 1.72383 0.954545 21
1000000 0.47555 8192 0.522172 1.46285 2.32821 0.954545 21
1000000 0.609033 16384 0.385749 1.80693 3.84222 0.954545 21
1000000 0.750445 32768 0.238638 2.6089 9.16197 0.954545 21
1000000 0.86961 65536 0.11184 4.84289 36.2497 0.954545 21
1000000 0.936848 131072 0.036559 11.115 205.82 0.954545 21
1000000 0.953867 262144 0.008665 23.0866 879.377 0.954545 21
1000000 0.954462 524288 0.000849 41.8483 5190.02 0.954545 21
1000000 0.954551 1048576 1.1e-05 75.3555 170952 0.954545 21
1000000 0.954342 2097152 6e-06 95.0067 499994 0.954545 21
