k = 19
# m=1000000, E[load]=(w/(1+w))=0.95, Kmax(sim. dels.)=16777216
#m n K freeFraction successfull unsuccessfull E[Load] k
1000000 0.006792 1 0.993208 1.00383 1.00686 0.95 19
1000000 0.0098 2 0.9902 1.005 1.00994 0.95 19
1000000 0.015498 4 0.984502 1.00878 1.01587 0.95 19
1000000 0.018635 8 0.981365 1.0103 1.01918 0.95 19
1000000 0.025792 16 0.974207 1.01458 1.02688 0.95 19
1000000 0.034881 32 0.965117 1.01826 1.03684 0.95 19
1000000 0.049908 64 0.950089 1.02593 1.05396 0.95 19
1000000 0.071093 128 0.928901 1.03789 1.07945 0.95 19
1000000 0.096258 256 0.903728 1.05165 1.11221 0.95 19
1000000 0.13175 512 0.868212 1.07517 1.16341 0.95 19
1000000 0.182595 1024 0.817298 1.11252 1.24872 0.95 19
1000000 0.251517 2048 0.748178 1.16917 1.39279 0.95 19
1000000 0.345455 4096 0.653695 1.26673 1.66902 0.95 19
1000000 0.45763 8192 0.540133 1.43154 2.20989 0.95 19
1000000 0.58777 16384 0.407056 1.73967 3.51334 0.95 19
1000000 0.728689 32768 0.26033 2.4379 7.81025 0.95 19
1000000 0.852245 65536 0.128441 4.32462 28.2157 0.95 19
1000000 0.926992 131072 0.044526 9.57663 151.819 0.95 19
1000000 0.948626 262144 0.011136 19.9314 687.832 0.95 19
1000000 0.94978 524288 0.001242 36.5912 3751.22 0.95 19
1000000 0.949924 1048576 1.7e-05 65.9763 97930 0.95 19
1000000 0.949886 2097152 8e-06 83.2049 216444 0.95 19
1000000 0.950448 4194304 6e-06 104.353 307677 0.95 19
