k = 3
# m=1000000, E[load]=(w/(1+w))=0.75, Kmax(sim. dels.)=16777216
#m n K freeFraction successfull unsuccessfull E[Load] k
1000000 0.000592 1 0.999408 1 1.00059 0.75 3
1000000 0.00241 2 0.99759 1.00083 1.00242 0.75 3
1000000 0.004384 4 0.995615 1.0016 1.00442 0.75 3
1000000 0.007276 8 0.992723 1.00357 1.00736 0.75 3
1000000 0.010272 16 0.989727 1.00594 1.01044 0.75 3
1000000 0.013298 32 0.986701 1.00714 1.01357 0.75 3
1000000 0.020017 64 0.979982 1.01124 1.02064 0.75 3
1000000 0.027402 128 0.972594 1.01536 1.02861 0.75 3
1000000 0.038498 256 0.961493 1.02034 1.04082 0.75 3
1000000 0.053701 512 0.94628 1.02961 1.05842 0.75 3
1000000 0.077584 1024 0.922366 1.04327 1.08778 0.75 3
1000000 0.104494 2048 0.895369 1.06126 1.12393 0.75 3
1000000 0.14344 4096 0.856194 1.08811 1.18283 0.75 3
1000000 0.198136 8192 0.800837 1.13184 1.28163 0.75 3
1000000 0.271593 16384 0.725636 1.2027 1.45439 0.75 3
1000000 0.361671 32768 0.631263 1.32139 1.77068 0.75 3
1000000 0.464996 65536 0.517719 1.52526 2.40207 0.75 3
1000000 0.577414 131072 0.383999 1.92618 3.96064 0.75 3
1000000 0.674614 262144 0.246359 2.73211 8.47211 0.75 3
1000000 0.733441 524288 0.129501 4.34783 22.6095 0.75 3
1000000 0.749201 1048576 0.064507 6.55959 56.0065 0.75 3
1000000 0.749058 2097152 0.053084 7.42983 73.0271 0.75 3
1000000 0.750752 4194304 0.050519 7.67669 79.2176 0.75 3
1000000 0.750157 8388608 0.050941 7.6704 77.6458 0.75 3
1000000 0.74957 16777215 0.05073 7.68523 76.2156 0.75 3
