k = 5
# m=1000000, E[load]=(w/(1+w))=0.833333, Kmax(sim. dels.)=16777216
#m n K freeFraction successfull unsuccessfull E[Load] k
1000000 0.000592 1 0.999408 1.00169 1.00059 0.833333 5
1000000 0.004989 2 0.995011 1.00301 1.00502 0.833333 5
1000000 0.006786 4 0.993214 1.00368 1.00684 0.833333 5
1000000 0.01003 8 0.98997 1.00528 1.01015 0.833333 5
1000000 0.01252 16 0.98748 1.00671 1.01273 0.833333 5
1000000 0.017882 32 0.982118 1.00906 1.01834 0.833333 5
1000000 0.023753 64 0.976247 1.01175 1.02456 0.833333 5
1000000 0.03386 128 0.966138 1.0179 1.03564 0.833333 5
1000000 0.048658 256 0.951331 1.02561 1.05249 0.833333 5
1000000 0.070114 512 0.929855 1.03765 1.07829 0.833333 5
1000000 0.096568 1024 0.903356 1.05419 1.11296 0.833333 5
1000000 0.133032 2048 0.866777 1.07936 1.1662 0.833333 5
1000000 0.184091 4096 0.815448 1.11761 1.25346 0.833333 5
1000000 0.254303 8192 0.744395 1.17872 1.4053 0.833333 5
1000000 0.343484 16384 0.653125 1.27994 1.67813 0.833333 5
1000000 0.449725 32768 0.54185 1.45129 2.21932 0.833333 5
1000000 0.57079 65536 0.409424 1.78271 3.51287 0.833333 5
1000000 0.69143 131072 0.266386 2.47694 7.38973 0.833333 5
1000000 0.783918 262144 0.13837 4.03536 21.1962 0.833333 5
1000000 0.826928 524288 0.051643 7.20058 75.0452 0.833333 5
1000000 0.832851 1048576 0.015259 11.9289 260.548 0.833333 5
1000000 0.832859 2097152 0.010506 14.1836 387.082 0.833333 5
1000000 0.833778 4194304 0.008504 15.4977 478.709 0.833333 5
1000000 0.833545 8388608 0.008211 15.8169 529.997 0.833333 5
1000000 0.832633 16777215 0.008139 15.8785 515.341 0.833333 5
