k = 9
# m=1000000, E[load]=(w/(1+w))=0.9, Kmax(sim. dels.)=16777216
#m n K freeFraction successfull unsuccessfull E[Load] k
1000000 0.006792 1 0.993208 1.00294 1.00686 0.9 9
1000000 0.0098 2 0.9902 1.00459 1.00994 0.9 9
1000000 0.011613 4 0.988387 1.00525 1.01181 0.9 9
1000000 0.01549 8 0.98451 1.00723 1.01584 0.9 9
1000000 0.019526 16 0.980473 1.00901 1.02009 0.9 9
1000000 0.023868 32 0.97613 1.01186 1.02473 0.9 9
1000000 0.0347 64 0.965297 1.01836 1.03661 0.9 9
1000000 0.048925 128 0.951069 1.02608 1.05279 0.9 9
1000000 0.069391 256 0.930598 1.03833 1.07746 0.9 9
1000000 0.095715 512 0.904258 1.05354 1.11162 0.9 9
1000000 0.130496 1024 0.869423 1.07649 1.16187 0.9 9
1000000 0.17957 2048 0.820185 1.11196 1.24405 0.9 9
1000000 0.245982 4096 0.753344 1.16815 1.38313 0.9 9
1000000 0.335485 8192 0.662786 1.26099 1.64083 0.9 9
1000000 0.441849 16384 0.553857 1.41606 2.13408 0.9 9
1000000 0.566682 32768 0.423314 1.70799 3.29707 0.9 9
1000000 0.699689 65536 0.278516 2.34091 6.8675 0.9 9
1000000 0.81468 131072 0.14516 3.88395 21.0363 0.9 9
1000000 0.881795 262144 0.054722 7.43083 85.6712 0.9 9
1000000 0.899223 524288 0.01259 14.2538 362.013 0.9 9
1000000 0.899652 1048576 0.00143 24.9192 2484.73 0.9 9
1000000 0.899562 2097152 0.000776 30.6367 5455.05 0.9 9
1000000 0.900052 4194304 0.000535 36.4488 6929.64 0.9 9
1000000 0.899855 8388608 0.000416 39.0516 8196.57 0.9 9
1000000 0.899849 16777215 0.000338 40.0288 11874 0.9 9
