k = 1
# m=1000000, E[load]=(w/(1+w))=0.5, Kmax(sim. dels.)=16777216
#m n K freeFraction successfull unsuccessfull E[Load] k
1000000 0.000592 1 0.999408 1 1.00059 0.5 1
1000000 0.00132 2 0.99868 1 1.00132 0.5 1
1000000 0.002139 4 0.997861 1.00094 1.00214 0.5 1
1000000 0.002759 8 0.997241 1.00145 1.00277 0.5 1
1000000 0.005512 16 0.994488 1.00236 1.00556 0.5 1
1000000 0.008296 32 0.991704 1.00374 1.00839 0.5 1
1000000 0.011262 64 0.988738 1.00524 1.01144 0.5 1
1000000 0.016075 128 0.983924 1.00653 1.01644 0.5 1
1000000 0.022815 256 0.977182 1.0103 1.02361 0.5 1
1000000 0.031749 512 0.968246 1.01628 1.03336 0.5 1
1000000 0.044185 1024 0.955785 1.02422 1.0474 0.5 1
1000000 0.062317 2048 0.9376 1.03599 1.06901 0.5 1
1000000 0.085919 4096 0.913833 1.0517 1.09913 0.5 1
1000000 0.117167 8192 0.882215 1.07446 1.14336 0.5 1
1000000 0.158771 16384 0.839531 1.10816 1.21182 0.5 1
1000000 0.213904 32768 0.781815 1.16456 1.32482 0.5 1
1000000 0.280888 65536 0.708464 1.2572 1.51588 0.5 1
1000000 0.353753 131072 0.621336 1.40943 1.85271 0.5 1
1000000 0.424686 262144 0.52117 1.6665 2.49951 0.5 1
1000000 0.476175 524288 0.426067 2.0439 3.60846 0.5 1
1000000 0.498541 1048576 0.369211 2.37248 4.79075 0.5 1
1000000 0.499405 2097152 0.361382 2.44041 5.04704 0.5 1
1000000 0.500127 4194304 0.360826 2.44109 5.05115 0.5 1
1000000 0.500556 8388608 0.359966 2.44856 5.08479 0.5 1
1000000 0.500788 16777215 0.360388 2.43812 5.05203 0.5 1
