k = 2
# m=1000000, E[load]=(w/(1+w))=0.666667, Kmax(sim. dels.)=16777216
#m n K freeFraction successfull unsuccessfull E[Load] k
1000000 0.000592 1 0.999408 1 1.00059 0.666667 2
1000000 0.002143 2 0.997857 1.0028 1.00215 0.666667 2
1000000 0.002617 4 0.997383 1.00267 1.00263 0.666667 2
1000000 0.005443 8 0.994557 1.00257 1.00549 0.666667 2
1000000 0.007643 16 0.992357 1.00301 1.00773 0.666667 2
1000000 0.01119 32 0.98881 1.00483 1.01137 0.666667 2
1000000 0.015647 64 0.984352 1.00665 1.01599 0.666667 2
1000000 0.022537 128 0.977462 1.01007 1.02328 0.666667 2
1000000 0.031441 256 0.968557 1.01463 1.03289 0.666667 2
1000000 0.044157 512 0.955833 1.0226 1.04725 0.666667 2
1000000 0.062098 1024 0.937878 1.03313 1.06841 0.666667 2
1000000 0.087322 2048 0.912578 1.04938 1.10037 0.666667 2
1000000 0.118236 4096 0.881471 1.07047 1.14386 0.666667 2
1000000 0.162543 8192 0.836612 1.10354 1.21531 0.666667 2
1000000 0.222579 16384 0.775156 1.1574 1.33503 0.666667 2
1000000 0.299748 32768 0.694427 1.24683 1.54803 0.666667 2
1000000 0.389643 65536 0.595702 1.39541 1.94292 0.666667 2
1000000 0.488386 131072 0.477626 1.66188 2.77632 0.666667 2
1000000 0.580654 262144 0.346717 2.1778 4.82134 0.666667 2
1000000 0.642527 524288 0.224477 3.12403 10.0571 0.666667 2
1000000 0.665149 1048576 0.147872 4.27485 19.6056 0.666667 2
1000000 0.665916 2097152 0.133795 4.63855 22.9278 0.666667 2
1000000 0.667147 4194304 0.132723 4.64879 23.2329 0.666667 2
1000000 0.666376 8388608 0.132511 4.70195 23.4696 0.666667 2
1000000 0.666634 16777215 0.132632 4.67171 23.372 0.666667 2
