k = 1
# m=1000000, E[load]=(k/(1+k))=0.5, Kmax(sim. dels.)=8388608
#m n K freeFraction successful-search unsuccessful-search timeavg-insertion timeavg-load k
1000000 0.000592 1 0.999408 1.00169 1.00059 1.00169 0 1
1000000 0.00132 2 0.99868 1.00076 1.00133 1 0 1
1000000 0.002139 4 0.997861 1.00094 1.00215 1.00122 0 1
1000000 0.002759 8 0.997241 1.00181 1.00277 1.00481 0 1
1000000 0.005512 16 0.994488 1.00254 1.00556 1.00326 0 1
1000000 0.008296 32 0.991704 1.00362 1.00839 1.00571 0 1
1000000 0.011262 64 0.988738 1.00542 1.01145 1.01034 0 1
1000000 0.016075 128 0.983923 1.00809 1.01647 1.01415 0 1
1000000 0.022815 256 0.977179 1.01258 1.02366 1.02286 0 1
1000000 0.031749 512 0.968241 1.01654 1.03341 1.02601 0 1
1000000 0.044185 1024 0.955788 1.02392 1.04746 1.04109 0 1
1000000 0.062317 2048 0.9376 1.03497 1.06896 1.05862 0 1
1000000 0.085919 4096 0.91384 1.04981 1.09904 1.08218 0 1
1000000 0.117167 8192 0.882186 1.07369 1.14329 1.12373 0 1
1000000 0.158771 16384 0.839507 1.10814 1.21158 1.17355 0 1
1000000 0.213904 32768 0.781814 1.16447 1.32367 1.25774 0 1
1000000 0.280888 65536 0.708483 1.25706 1.51338 1.38821 0 1
1000000 0.353753 131072 0.621067 1.40643 1.84757 1.5697 0 1
1000000 0.424686 262144 0.521418 1.66565 2.49848 1.84232 0 1
1000000 0.476175 524288 0.426022 2.0557 3.648 2.15236 0 1
1000000 0.498541 1048576 0.369502 2.37282 4.7838 2.36458 0 1
1000000 0.499405 2097152 0.362054 2.44202 5.03053 2.43721 0 1
1000000 0.500127 4194304 0.36087 2.43549 5.0318 2.43635 0 1
1000000 0.500557 8388607 0.360534 2.43754 5.03723 2.43811 0.500471 1
