k = 85
# m = 10000, Approx. E[load]=(k/(1+k))=0.988372, Kmax(Number of Deletions)=5000000
#m n K freeFraction successful-search unsuccessful-search insertion timeavg-insertion timeavg-load k elapsed-sec
10000 0.0592 1 0.9408 1.03209 1.0048 1.0048 1.03204 0 85 0
10000 0.986 500001 0 2132.59 10000 1091.51 1327.97 0 85 2
10000 0.9888 1000001 0 3444.07 10000 2103.75 2961.25 0 85 6
10000 0.9861 1500001 0 3989.2 10000 4829.99 3733.15 0 85 10
10000 0.9886 2000001 0 4032.07 10000 4765.87 4020.78 0 85 16
10000 0.987 2500001 0 4086.73 10000 4289.41 4095.18 0 85 21
10000 0.989 3000001 0 4139.75 10000 2508.11 4116.41 0 85 26
10000 0.9905 3500001 0 4108.94 10000 4562.79 4141.51 0 85 32
10000 0.989 4000001 0 4134.89 10000 2511.83 4152.32 0 85 37
10000 0.9887 4500001 0 4137.67 10000 2031.75 4128.26 0 85 42
10000 0.9882 4999999 0 4145.73 10000 4774.4 4142.41 0.988325 85 47
