k = 65
# m = 10000, Approx. E[load]=(k/(1+k))=0.984848, Kmax(Number of Deletions)=5000000
#m n K freeFraction successful-search unsuccessful-search insertion timeavg-insertion timeavg-load k elapsed-sec
10000 0.0592 1 0.9408 1.03209 1.0051 1.0051 1.03204 0 65 0
10000 0.9819 500001 0 2315.32 10000 1823.94 1461.45 0 65 2
10000 0.9853 1000001 0 2902.59 10000 4546.74 2688.42 0 65 5
10000 0.9814 1500001 0 3062.13 10000 2115.81 3020.1 0 65 9
10000 0.9846 2000001 0 3159.42 10000 1097.54 3100.24 0 65 13
10000 0.9833 2500001 0 3174.56 10000 4741.99 3161.28 0 65 17
10000 0.9862 3000001 0 3195.64 10000 2366.94 3205.85 0 65 21
10000 0.9873 3500001 0 3175.92 10000 4823.11 3193.74 0 65 25
10000 0.9859 4000001 0 3197.27 10000 4128.59 3195.43 0 65 29
10000 0.986 4500001 0 3322.75 10000 2911.92 3259.89 0 65 34
10000 0.9851 4999999 0 3242.19 10000 4763.43 3281.96 0.984804 65 38
