k = 66
# m = 10000, Approx. E[load]=(k/(1+k))=0.985075, Kmax(Number of Deletions)=5000000
#m n K freeFraction successful-search unsuccessful-search insertion timeavg-insertion timeavg-load k elapsed-sec
10000 0.0592 1 0.9408 1.03378 1.0051 1.0051 1.03373 0 66 0
10000 0.9822 500001 0 2363.72 10000 3294.74 1442.81 0 66 2
10000 0.9858 1000001 0 3007.85 10000 4198.17 2751.53 0 66 5
10000 0.9815 1500001 0 3163.02 10000 2000.65 3076.44 0 66 9
10000 0.9848 2000001 0 3161.58 10000 4074.62 3155.7 0 66 13
10000 0.9835 2500001 0 3249.56 10000 2042.29 3232.45 0 66 17
10000 0.9865 3000001 0 3280.2 10000 2962.8 3261.89 0 66 21
10000 0.9879 3500001 0 3272.4 10000 2900.58 3289.67 0 66 25
10000 0.9861 4000001 0 3287.6 10000 1983.19 3269.6 0 66 29
10000 0.9861 4500001 0 3230.77 10000 3650.76 3293.23 0 66 33
10000 0.9854 4999999 0 3152.58 10000 4238.14 3232.51 0.985031 66 37
