k = 34
# m = 10000, Approx. E[load]=(k/(1+k))=0.971429, Kmax(Number of Deletions)=5000000
#m n K freeFraction successful-search unsuccessful-search insertion timeavg-insertion timeavg-load k elapsed-sec
10000 0.0592 1 0.9408 1.02872 1.0055 1.0055 1.02867 0 34 0
10000 0.967 500001 0 556.559 10000 528.831 379.023 0 34 0
10000 0.972 1000001 0 612.109 10000 591.561 578.013 0 34 1
10000 0.9684 1500001 0 631.837 10000 248.655 649.592 0 34 2
10000 0.9714 2000001 0 601.267 10000 381.575 595.243 0 34 3
10000 0.9684 2500001 0 603.957 10000 340.856 599.289 0 34 4
10000 0.9736 3000001 0 663.33 10000 1498.44 619.783 0 34 4
10000 0.9703 3500001 0 682.632 10000 1000.04 656.757 0 34 5
10000 0.9725 4000001 0 665.758 10000 786.733 686.925 0 34 6
10000 0.974 4500001 0 645.703 10000 733.743 665.98 0 34 7
10000 0.9699 4999999 0 702.81 10000 404.599 690.211 0.971396 34 8
