k = 50
# m = 10000, Approx. E[load]=(k/(1+k))=0.980392, Kmax(Number of Deletions)=5000000
#m n K freeFraction successful-search unsuccessful-search insertion timeavg-insertion timeavg-load k elapsed-sec
10000 0.0592 1 0.9408 1.02703 1.0049 1.0049 1.02698 0 50 0
10000 0.9765 500001 0 1541.08 10000 718.394 1051.12 0 50 1
10000 0.9806 1000001 0 1787.37 10000 485.605 1739.36 0 50 4
10000 0.9778 1500001 0 2062.56 10000 1688.65 1937.92 0 50 7
10000 0.9806 2000001 0 1991.62 10000 3890.96 1998.23 0 50 10
10000 0.9783 2500001 0 2071.48 10000 777.045 2034.15 0 50 12
10000 0.9823 3000001 0 1953.45 10000 3094.96 1958.26 0 50 15
10000 0.9813 3500001 0 1876.39 10000 1000.75 1953.8 0 50 18
10000 0.9811 4000001 0 1815.57 10000 1148.41 1828.69 0 50 21
10000 0.9816 4500001 0 1927.79 10000 1183.49 1913.74 0 50 23
10000 0.9797 4999999 0 2043.63 10000 3332.56 1932.73 0.980348 50 26
