k = 38
# m = 10000, Approx. E[load]=(k/(1+k))=0.974359, Kmax(Number of Deletions)=5000000
#m n K freeFraction successful-search unsuccessful-search insertion timeavg-insertion timeavg-load k elapsed-sec
10000 0.0592 1 0.9408 1.02534 1.0054 1.0054 1.0253 0 38 0
10000 0.9699 500001 0 495.049 10000 261.668 403.266 0 38 0
10000 0.9742 1000001 0 843.782 10000 441.546 744.987 0 38 1
10000 0.9714 1500001 0 767.039 10000 714.199 842.338 0 38 2
10000 0.9738 2000001 0 792.963 10000 572.088 846.603 0 38 3
10000 0.9718 2500001 0 900.967 10000 678.811 855.962 0 38 5
10000 0.9768 3000001 0 894.978 10000 608.3 894.36 0 38 6
10000 0.9737 3500001 0 918.421 10000 1057.9 874.867 0 38 7
10000 0.9755 4000001 0 925.995 10000 1088.71 904.018 0 38 8
10000 0.9767 4500001 0 975.217 10000 1498.95 996.167 0 38 9
10000 0.9725 4999999 0 1052.81 10000 1133.88 974.952 0.974319 38 11
