k = 55
# m = 10000, Approx. E[load]=(k/(1+k))=0.982143, Kmax(Number of Deletions)=5000000
#m n K freeFraction successful-search unsuccessful-search insertion timeavg-insertion timeavg-load k elapsed-sec
10000 0.0592 1 0.9408 1.03378 1.0052 1.0052 1.03373 0 55 0
10000 0.9784 500001 0 1834.24 10000 627.202 1265.27 0 55 2
10000 0.9824 1000001 0 2316.81 10000 2334.34 2123.12 0 55 5
10000 0.9794 1500001 0 2297.06 10000 2723.75 2379.38 0 55 8
10000 0.9818 2000001 0 2424.34 10000 3929.06 2383.56 0 55 12
10000 0.9796 2500001 0 2400.11 10000 1389.48 2434.53 0 55 15
10000 0.9842 3000001 0 2397.08 10000 1676.35 2368.51 0 55 19
10000 0.9834 3500001 0 2426.36 10000 4447.65 2451.72 0 55 23
10000 0.9831 4000001 0 2442.14 10000 3322.65 2382.94 0 55 27
10000 0.9836 4500001 0 2382.93 10000 1645.23 2406.2 0 55 31
10000 0.9822 4999999 0 2346.95 10000 2485.51 2391.06 0.9821 55 35
