k = 64
# m = 10000, Approx. E[load]=(k/(1+k))=0.984615, Kmax(Number of Deletions)=5000000
#m n K freeFraction successful-search unsuccessful-search insertion timeavg-insertion timeavg-load k elapsed-sec
10000 0.0592 1 0.9408 1.03209 1.0053 1.0053 1.03204 0 64 0
10000 0.9812 500001 0 2358.51 10000 3099.03 1470.14 0 64 2
10000 0.9852 1000001 0 2859.63 10000 2395.71 2683.82 0 64 5
10000 0.9813 1500001 0 3089.41 10000 1597.82 3020.47 0 64 9
10000 0.9841 2000001 0 3122.35 10000 956.206 3106.57 0 64 13
10000 0.9823 2500001 0 3131.91 10000 3673.42 3078.51 0 64 17
10000 0.9861 3000001 0 3052.7 10000 3704.31 3109.49 0 64 21
10000 0.987 3500001 0 3091.44 10000 4632.37 3084.06 0 64 25
10000 0.9858 4000001 0 3209.02 10000 4587.23 3139.68 0 64 29
10000 0.9859 4500001 0 3267.65 10000 3151.89 3235.69 0 64 33
10000 0.9848 4999999 0 3097.15 10000 4342.02 3201.96 0.984572 64 38
