k = 73
# m = 10000, Approx. E[load]=(k/(1+k))=0.986486, Kmax(Number of Deletions)=5000000
#m n K freeFraction successful-search unsuccessful-search insertion timeavg-insertion timeavg-load k elapsed-sec
10000 0.0592 1 0.9408 1.03209 1.0051 1.0051 1.03204 0 73 0
10000 0.9836 500001 0 2354.35 10000 686.104 1347.92 0 73 1
10000 0.9868 1000001 0 3274.69 10000 1509.89 2889.33 0 73 5
10000 0.983 1500001 0 3487.31 10000 4482.29 3411.87 0 73 9
10000 0.9861 2000001 0 3601.1 10000 3967.94 3537.42 0 73 14
10000 0.9848 2500001 0 3666.13 10000 2318.13 3599.11 0 73 19
10000 0.9874 3000001 0 3676.39 10000 4853.6 3629.22 0 73 23
10000 0.9888 3500001 0 3661.79 10000 3446.68 3661.71 0 73 28
10000 0.9881 4000001 0 3657.7 10000 4626.57 3662.74 0 73 33
10000 0.9872 4500001 0 3665.36 10000 1629.97 3661.67 0 73 37
10000 0.9867 4999999 0 3676.46 10000 2948.6 3666.56 0.986444 73 42
