k = 80
# m = 10000, Approx. E[load]=(k/(1+k))=0.987654, Kmax(Number of Deletions)=5000000
#m n K freeFraction successful-search unsuccessful-search insertion timeavg-insertion timeavg-load k elapsed-sec
10000 0.0592 1 0.9408 1.03378 1.005 1.005 1.03373 0 80 0
10000 0.9847 500001 0 2072.31 10000 1224.93 1255.28 0 80 1
10000 0.9882 1000001 0 3383.51 10000 4620.36 2835.58 0 80 5
10000 0.9844 1500001 0 3768.28 10000 3957.9 3641.61 0 80 10
10000 0.9878 2000001 0 3880.37 10000 4738.48 3881.6 0 80 17
10000 0.9859 2500001 0 3896.63 10000 2070.53 3931.22 0 80 23
10000 0.9882 3000001 0 3965.17 10000 4311.97 3927.48 0 80 29
10000 0.9898 3500001 0 4011.94 10000 3584.65 3970.37 0 80 35
10000 0.9886 4000001 0 3969.81 10000 4829.07 3987.1 0 80 41
10000 0.988 4500001 0 3871.05 10000 2285.49 3945.21 0 80 46
10000 0.9877 4999999 0 3938.21 10000 4862.47 3918.15 0.987608 80 51
