k = 32
# m = 10000, Approx. E[load]=(k/(1+k))=0.969697, Kmax(Number of Deletions)=5000000
#m n K freeFraction successful-search unsuccessful-search insertion timeavg-insertion timeavg-load k elapsed-sec
10000 0.0592 1 0.9408 1.02872 1.0054 1.0054 1.02867 0 32 0
10000 0.9657 500001 0 384.037 10000 297.667 303.88 0 32 0
10000 0.9703 1000001 0 418.986 10000 266.285 430.207 0 32 1
10000 0.9665 1500001 0 539.729 10000 338.889 492.2 0 32 1
10000 0.9702 2000001 0 565.656 10000 412.645 571.183 0 32 2
10000 0.9665 2500001 0 593.899 10000 244.765 576.267 0 32 3
10000 0.9718 3000001 0 580.468 10000 585.694 563.72 0 32 4
10000 0.9683 3500001 0 620.323 10000 708.815 571.26 0 32 5
10000 0.9707 4000001 0 563.323 10000 704.998 616.268 0 32 5
10000 0.972 4500001 0 565.843 10000 388.365 603.873 0 32 6
10000 0.9682 4999999 0 586.944 10000 292.606 590.439 0.969664 32 7
