k = 1
# m = 10000, Approx. E[load]=(k/(1+k))=0.5, Kmax(Number of Deletions)=5000000
#m n K freeFraction successful-search unsuccessful-search insertion timeavg-insertion timeavg-load k elapsed-sec
10000 0.0117 1 0.9883 1.00855 1.0002 1.0002 1.00847 0 1 0
10000 0.5048 500001 0.3661 2.33914 4.0841 1.9754 2.41751 0 1 0
10000 0.5033 1000001 0.3517 2.42758 4.3993 1.9108 2.43882 0 1 0
10000 0.5041 1500001 0.3583 2.42531 4.2329 1.9619 2.43908 0 1 0
10000 0.5073 2000001 0.3535 2.57481 4.708 2.0949 2.43422 0 1 0
10000 0.5054 2500001 0.3593 2.34883 4.1105 1.9365 2.43903 0 1 0
10000 0.5016 3000001 0.3598 2.43162 4.4273 1.9956 2.42415 0 1 0
10000 0.4935 3500001 0.3682 2.56778 4.5629 2.0299 2.43563 0 1 0
10000 0.5033 4000001 0.3625 2.38228 4.1559 2.0091 2.43183 0 1 0
10000 0.5017 4500001 0.3603 2.41977 4.4049 1.9273 2.44061 0 1 0
10000 0.5028 4999999 0.3629 2.39797 4.397 1.9704 2.42992 0.49998 1 0
