k = 132
# m = 10000, Approx. E[load]=(k/(1+k))=0.992481, Kmax(Number of Deletions)=5000000
#m n K freeFraction successful-search unsuccessful-search insertion timeavg-insertion timeavg-load k elapsed-sec
10000 0.0592 1 0.9408 1.03209 1.0044 1.0044 1.03204 0 132 0
10000 0.991 500001 0 2722.45 10000 2003.83 1881.64 0 132 2
10000 0.9931 1000001 0 3660.08 10000 4844.76 3314.79 0 132 7
10000 0.9915 1500001 0 3621.89 10000 4874.32 3678.86 0 132 12
10000 0.9931 2000001 0 3824.38 10000 2653.84 3560.64 0 132 17
10000 0.9908 2500001 0 4325.42 10000 4903.98 4094.57 0 132 22
10000 0.9924 3000001 0 4600.59 10000 4918.84 4492.6 0 132 28
10000 0.9937 3500001 0 4748.87 10000 4937.7 4700.23 0 132 35
10000 0.992 4000001 0 4817.13 10000 4918.84 4779.72 0 132 42
10000 0.9923 4500001 0 4847.65 10000 4921.82 4813.46 0 132 49
10000 0.9925 4999999 0 4797.52 10000 4925.78 4819.54 0.992436 132 56
