k = 78
# m = 10000, Approx. E[load]=(k/(1+k))=0.987342, Kmax(Number of Deletions)=5000000
#m n K freeFraction successful-search unsuccessful-search insertion timeavg-insertion timeavg-load k elapsed-sec
10000 0.0592 1 0.9408 1.03209 1.005 1.005 1.03204 0 78 0
10000 0.9841 500001 0 2212.89 10000 772.138 1261.94 0 78 2
10000 0.9876 1000001 0 3301.49 10000 1839.34 2851.55 0 78 5
10000 0.9835 1500001 0 3661.65 10000 2806.56 3538.02 0 78 10
10000 0.9869 2000001 0 3857.41 10000 2595.77 3750.47 0 78 15
10000 0.9857 2500001 0 3810.11 10000 3180.64 3774.9 0 78 20
10000 0.9881 3000001 0 3906.79 10000 4659.6 3846.67 0 78 25
10000 0.9894 3500001 0 3902.23 10000 2751.8 3859.89 0 78 30
10000 0.9885 4000001 0 3925.96 10000 4178.26 3859.25 0 78 35
10000 0.9878 4500001 0 3904.43 10000 1665.65 3896.35 0 78 40
10000 0.9872 4999999 0 3857.43 10000 3528.08 3885.42 0.987295 78 45
