k = 63
# m = 10000, Approx. E[load]=(k/(1+k))=0.984375, Kmax(Number of Deletions)=5000000
#m n K freeFraction successful-search unsuccessful-search insertion timeavg-insertion timeavg-load k elapsed-sec
10000 0.0592 1 0.9408 1.03209 1.0051 1.0051 1.03204 0 63 0
10000 0.981 500001 0 2303.78 10000 3711.27 1476.42 0 63 2
10000 0.9851 1000001 0 2889.34 10000 4754.63 2634.4 0 63 5
10000 0.9812 1500001 0 3067.41 10000 4482.19 3000.46 0 63 9
10000 0.9839 2000001 0 3190.87 10000 4763.4 3113.47 0 63 13
10000 0.9819 2500001 0 3016.55 10000 2050.42 3051.66 0 63 17
10000 0.9858 3000001 0 3019.58 10000 1588.94 3000.85 0 63 21
10000 0.9864 3500001 0 3088.43 10000 4700.35 3036.78 0 63 25
10000 0.9853 4000001 0 3049.84 10000 4446.79 3030.7 0 63 29
10000 0.9858 4500001 0 3100.36 10000 4607.19 3041.05 0 63 32
10000 0.9841 4999999 0 3154.66 10000 2113.75 3094.12 0.984331 63 36
