k = 60
# m = 10000, Approx. E[load]=(k/(1+k))=0.983607, Kmax(Number of Deletions)=5000000
#m n K freeFraction successful-search unsuccessful-search insertion timeavg-insertion timeavg-load k elapsed-sec
10000 0.0592 1 0.9407 1.03547 1.0053 1.0052 1.03541 0 60 0
10000 0.9801 500001 0 2157.77 10000 2895.09 1418.46 0 60 2
10000 0.9841 1000001 0 2651.3 10000 4718.62 2478.15 0 60 5
10000 0.9805 1500001 0 2823.66 10000 4256.8 2795.56 0 60 8
10000 0.9829 2000001 0 2764.93 10000 2528.02 2792.4 0 60 12
10000 0.9814 2500001 0 2789.95 10000 1533.15 2817.93 0 60 15
10000 0.985 3000001 0 2841.52 10000 686.009 2812.31 0 60 19
10000 0.9844 3500001 0 2771.97 10000 1332.73 2864.93 0 60 23
10000 0.9838 4000001 0 2833.84 10000 4635.65 2797.97 0 60 27
10000 0.9846 4500001 0 2911.28 10000 1857.9 2866.37 0 60 30
10000 0.9836 4999999 0 2834.72 10000 2939.45 2863.78 0.983567 60 34
