k = 12
# m = 10000, Approx. E[load]=(k/(1+k))=0.923077, Kmax(Number of Deletions)=5000000
#m n K freeFraction successful-search unsuccessful-search insertion timeavg-insertion timeavg-load k elapsed-sec
10000 0.0592 1 0.9408 1.02534 1.0056 1.0056 1.0253 0 12 0
10000 0.9198 500001 0 59.1165 10000 60.7863 58.8899 0 12 0
10000 0.9235 1000001 0 76.3201 10000 82.1127 66.1431 0 12 0
10000 0.9233 1500001 0 64.1616 10000 60.9994 64.4953 0 12 0
10000 0.9245 2000001 0 61.7542 10000 55.6198 64.2507 0 12 0
10000 0.9239 2500001 0 59.4794 10000 61.3878 62.8053 0 12 1
10000 0.9252 3000001 0 60.3314 10000 48.4268 62.8918 0 12 1
10000 0.9203 3500001 0 67.8544 10000 53.4414 64.0135 0 12 1
10000 0.9229 4000001 0 66.9513 10000 65.8353 64.8123 0 12 1
10000 0.927 4500001 0 61.1781 10000 89.0487 62.8662 0 12 1
10000 0.9246 4999999 0 61.6854 10000 57.246 62.2918 0.923058 12 1
