k = 148
# m = 10000, Approx. E[load]=(k/(1+k))=0.993289, Kmax(Number of Deletions)=5000000
#m n K freeFraction successful-search unsuccessful-search insertion timeavg-insertion timeavg-load k elapsed-sec
10000 0.0592 1 0.9408 1.03378 1.0049 1.0049 1.03373 0 148 0
10000 0.9922 500001 0 3102.28 10000 2551.58 2060.57 0 148 2
10000 0.9938 1000001 0 3711.83 10000 3032.29 3337.25 0 148 6
10000 0.9925 1500001 0 4146.82 10000 4682.05 3988.48 0 148 11
10000 0.9942 2000001 0 3958 10000 4856.6 4036.59 0 148 16
10000 0.9916 2500001 0 3848.08 10000 4910.91 3747.89 0 148 21
10000 0.9934 3000001 0 4334.95 10000 4930.75 4109.53 0 148 26
10000 0.9942 3500001 0 4694.41 10000 4940.68 4542.58 0 148 31
10000 0.9933 4000001 0 4832.62 10000 4932.73 4766.1 0 148 37
10000 0.9928 4500001 0 4902.96 10000 4926.78 4843.92 0 148 43
10000 0.9934 4999999 0 4864.46 10000 4932.73 4874.57 0.993244 148 49
