k = 88
# m = 10000, Approx. E[load]=(k/(1+k))=0.988764, Kmax(Number of Deletions)=5000000
#m n K freeFraction successful-search unsuccessful-search insertion timeavg-insertion timeavg-load k elapsed-sec
10000 0.0592 1 0.9408 1.03209 1.0046 1.0046 1.03204 0 88 0
10000 0.9867 500001 0 2507.44 10000 2547.9 1481.1 0 88 2
10000 0.9892 1000001 0 3668.71 10000 4166.41 3205.8 0 88 6
10000 0.9865 1500001 0 4014.29 10000 4843.76 3886.43 0 88 11
10000 0.9891 2000001 0 4161.58 10000 4858.53 4095.72 0 88 17
10000 0.9876 2500001 0 4223.47 10000 2991.39 4185.53 0 88 23
10000 0.9895 3000001 0 4208.71 10000 4741.62 4232.64 0 88 28
10000 0.9907 3500001 0 4274.61 10000 4823.28 4218.41 0 88 34
10000 0.9893 4000001 0 4232.88 10000 4827.12 4220.91 0 88 40
10000 0.9889 4500001 0 4255.2 10000 4860.51 4213.54 0 88 46
10000 0.9885 4999999 0 4211.42 10000 2298.63 4219.45 0.988718 88 52
