k = 97
# m = 10000, Approx. E[load]=(k/(1+k))=0.989796, Kmax(Number of Deletions)=5000000
#m n K freeFraction successful-search unsuccessful-search insertion timeavg-insertion timeavg-load k elapsed-sec
10000 0.0592 1 0.9408 1.03041 1.0041 1.0041 1.03035 0 97 0
10000 0.988 500001 0 2331.68 10000 4501.86 1539.46 0 97 2
10000 0.9901 1000001 0 3686.44 10000 4194.2 3108.83 0 97 6
10000 0.9881 1500001 0 4160.91 10000 4859.52 3974.77 0 97 11
10000 0.9904 2000001 0 4419.43 10000 3990.2 4289.34 0 97 16
10000 0.9883 2500001 0 4458.11 10000 2150.47 4404.39 0 97 22
10000 0.9901 3000001 0 4479.43 10000 4859.57 4438.89 0 97 27
10000 0.9915 3500001 0 4440.03 10000 4750.89 4445.06 0 97 34
10000 0.99 4000001 0 4447.11 10000 3073.55 4446.67 0 97 40
10000 0.9899 4500001 0 4448.17 10000 4884.19 4451.09 0 97 46
10000 0.9903 4999999 0 4487.98 10000 4894.08 4437.19 0.98975 97 52
