k = 83
# m = 10000, Approx. E[load]=(k/(1+k))=0.988095, Kmax(Number of Deletions)=5000000
#m n K freeFraction successful-search unsuccessful-search insertion timeavg-insertion timeavg-load k elapsed-sec
10000 0.0592 1 0.9408 1.03209 1.0048 1.0048 1.03204 0 83 0
10000 0.9858 500001 0 2345.27 10000 4531.6 1376.42 0 83 2
10000 0.9886 1000001 0 3501.36 10000 2415.95 3078.85 0 83 7
10000 0.9857 1500001 0 3896.8 10000 4749.92 3738.05 0 83 13
10000 0.9885 2000001 0 3935.99 10000 4865.43 3930.44 0 83 19
10000 0.9867 2500001 0 4056.63 10000 3264.4 4022.32 0 83 25
10000 0.9887 3000001 0 4061.04 10000 4835.93 4065.08 0 83 32
10000 0.9904 3500001 0 4056.44 10000 4645.47 4077.47 0 83 38
10000 0.9888 4000001 0 4010.61 10000 3674.83 4056.49 0 83 43
10000 0.9886 4500001 0 4088.36 10000 2587.12 4039.77 0 83 48
10000 0.9879 4999999 0 4025.61 10000 2292.26 4066.28 0.988049 83 53
