k = 61
# m = 10000, Approx. E[load]=(k/(1+k))=0.983871, Kmax(Number of Deletions)=5000000
#m n K freeFraction successful-search unsuccessful-search insertion timeavg-insertion timeavg-load k elapsed-sec
10000 0.0592 1 0.9408 1.03378 1.0051 1.0051 1.03373 0 61 0
10000 0.9803 500001 0 2243.45 10000 825.388 1437.87 0 61 2
10000 0.9842 1000001 0 2686.77 10000 2341.57 2564.69 0 61 5
10000 0.9807 1500001 0 2772.11 10000 2994.01 2780.23 0 61 8
10000 0.9832 2000001 0 2819.27 10000 4651.13 2818.94 0 61 12
10000 0.9816 2500001 0 2836.96 10000 1535.73 2866.18 0 61 16
10000 0.9852 3000001 0 2950.75 10000 1344.7 2866.58 0 61 19
10000 0.9856 3500001 0 2922.28 10000 2092.57 2942.19 0 61 23
10000 0.984 4000001 0 2958.9 10000 1967.23 2934.76 0 61 27
10000 0.9855 4500001 0 3013.26 10000 866.296 2971.4 0 61 30
10000 0.9838 4999999 0 2862.56 10000 2314.5 2940.1 0.983829 61 34
