k = 39
# m = 10000, Approx. E[load]=(k/(1+k))=0.975, Kmax(Number of Deletions)=5000000
#m n K freeFraction successful-search unsuccessful-search insertion timeavg-insertion timeavg-load k elapsed-sec
10000 0.0592 1 0.9408 1.02534 1.0053 1.0053 1.0253 0 39 0
10000 0.9703 500001 0 737.221 10000 349 544.627 0 39 0
10000 0.9748 1000001 0 735.268 10000 294.668 749.32 0 39 1
10000 0.972 1500001 0 767.801 10000 231.322 714.589 0 39 2
10000 0.9747 2000001 0 711.02 10000 400.848 648.466 0 39 3
10000 0.9733 2500001 0 889.209 10000 593.94 726.397 0 39 4
10000 0.9773 3000001 0 858.011 10000 1134.07 852.972 0 39 5
10000 0.9745 3500001 0 535.553 10000 517.631 701.448 0 39 6
10000 0.9768 4000001 0 600.171 10000 727.839 559.366 0 39 7
10000 0.977 4500001 0 749.23 10000 532.995 651.67 0 39 8
10000 0.973 4999999 0 655.087 10000 260.429 775.827 0.974966 39 9
