k = 24
# m = 10000, Approx. E[load]=(k/(1+k))=0.96, Kmax(Number of Deletions)=5000000
#m n K freeFraction successful-search unsuccessful-search insertion timeavg-insertion timeavg-load k elapsed-sec
10000 0.0592 1 0.9408 1.02872 1.0064 1.0064 1.02867 0 24 0
10000 0.957 500001 0 225.565 10000 171.253 201.761 0 24 0
10000 0.9603 1000001 0 207.876 10000 134.394 223.823 0 24 0
10000 0.9578 1500001 0 225.823 10000 131.057 204.685 0 24 1
10000 0.9596 2000001 0 209.927 10000 208.1 239.728 0 24 1
10000 0.9592 2500001 0 197.493 10000 187.71 211.438 0 24 1
10000 0.9634 3000001 0 214.688 10000 232.719 210.332 0 24 2
10000 0.9582 3500001 0 259.64 10000 172.163 234.776 0 24 2
10000 0.9615 4000001 0 276.182 10000 143.654 271.285 0 24 3
10000 0.9632 4500001 0 236.761 10000 285.503 251.161 0 24 3
10000 0.9603 4999999 0 223.377 10000 240.738 221.649 0.959974 24 3
