k = 102
# m = 10000, Approx. E[load]=(k/(1+k))=0.990291, Kmax(Number of Deletions)=5000000
#m n K freeFraction successful-search unsuccessful-search insertion timeavg-insertion timeavg-load k elapsed-sec
10000 0.0592 1 0.9408 1.02872 1.0041 1.0041 1.02867 0 102 0
10000 0.9883 500001 0 2324.5 10000 1681.22 1632.67 0 102 2
10000 0.9908 1000001 0 3692.17 10000 4602.83 3130.55 0 102 6
10000 0.9885 1500001 0 4228.18 10000 4874.31 4028.25 0 102 11
10000 0.9908 2000001 0 4430.53 10000 4899.03 4365.87 0 102 17
10000 0.9888 2500001 0 4451.63 10000 2493.77 4475.41 0 102 23
10000 0.9906 3000001 0 4512.51 10000 4720.27 4503.93 0 102 29
10000 0.9919 3500001 0 4494.83 10000 4715.8 4518.03 0 102 35
10000 0.9904 4000001 0 4547.28 10000 4732.59 4537.98 0 102 41
10000 0.9901 4500001 0 4533.4 10000 4854.68 4519.2 0 102 46
10000 0.9906 4999999 0 4465.42 10000 4837.06 4506.46 0.990244 102 52
