k = 128
# m = 10000, Approx. E[load]=(k/(1+k))=0.992248, Kmax(Number of Deletions)=5000000
#m n K freeFraction successful-search unsuccessful-search insertion timeavg-insertion timeavg-load k elapsed-sec
10000 0.0592 1 0.9408 1.03209 1.0044 1.0044 1.03204 0 128 0
10000 0.9907 500001 0 2872.52 10000 1080.44 1798.9 0 128 3
10000 0.9928 1000001 0 3634.3 10000 4649.26 3352.02 0 128 7
10000 0.9909 1500001 0 3329.17 10000 4902.99 3497 0 128 12
10000 0.9927 2000001 0 3492.85 10000 3788.59 3234.66 0 128 17
10000 0.9906 2500001 0 4050.35 10000 4901.01 3828.49 0 128 23
10000 0.9923 3000001 0 4415 10000 4912.89 4292.72 0 128 30
10000 0.9935 3500001 0 4609.44 10000 4934.72 4536.67 0 128 36
10000 0.9919 4000001 0 4681.58 10000 2636.16 4676.3 0 128 43
10000 0.9919 4500001 0 4783.85 10000 4917.85 4720.27 0 128 50
10000 0.9923 4999999 0 4757.17 10000 4921.82 4770.41 0.992201 128 57
