k = 75
# m = 10000, Approx. E[load]=(k/(1+k))=0.986842, Kmax(Number of Deletions)=5000000
#m n K freeFraction successful-search unsuccessful-search insertion timeavg-insertion timeavg-load k elapsed-sec
10000 0.0592 1 0.9408 1.03209 1.0051 1.0051 1.03204 0 75 0
10000 0.9838 500001 0 2000.6 10000 2204.32 1139.92 0 75 1
10000 0.987 1000001 0 3213.85 10000 2853.58 2723.15 0 75 5
10000 0.9833 1500001 0 3525.58 10000 4375.87 3367.27 0 75 9
10000 0.9863 2000001 0 3627.83 10000 2557.29 3582.79 0 75 13
10000 0.9854 2500001 0 3685.4 10000 4747.94 3679.59 0 75 18
10000 0.9878 3000001 0 3716.93 10000 1740.47 3706.54 0 75 23
10000 0.9891 3500001 0 3742.62 10000 3704.59 3751.75 0 75 27
10000 0.9882 4000001 0 3773.88 10000 2982.83 3770.69 0 75 32
10000 0.9874 4500001 0 3716.33 10000 1771.3 3781.59 0 75 37
10000 0.987 4999999 0 3821.91 10000 4723.71 3779.73 0.986797 75 42
