k = 112
# m = 10000, Approx. E[load]=(k/(1+k))=0.99115, Kmax(Number of Deletions)=5000000
#m n K freeFraction successful-search unsuccessful-search insertion timeavg-insertion timeavg-load k elapsed-sec
10000 0.0592 1 0.9408 1.03547 1.0046 1.0046 1.03541 0 112 0
10000 0.9895 500001 0 2388.73 10000 2581.46 1628.64 0 112 2
10000 0.9916 1000001 0 3750.53 10000 4878.31 3073.9 0 112 6
10000 0.9895 1500001 0 4337.88 10000 3085.85 4119.53 0 112 11
10000 0.9916 2000001 0 4538.1 10000 4822.5 4505.18 0 112 17
10000 0.9897 2500001 0 4610.98 10000 4892.1 4625.52 0 112 22
10000 0.9915 3000001 0 4626.93 10000 4421.44 4635.67 0 112 28
10000 0.9924 3500001 0 4631.3 10000 4917.85 4656.99 0 112 34
10000 0.9912 4000001 0 4642.71 10000 3421.72 4673.43 0 112 41
10000 0.9907 4500001 0 4699.99 10000 4884.2 4661.43 0 112 47
10000 0.9915 4999999 0 4635.45 10000 4915.87 4685.62 0.991104 112 54
