k = 52
# m = 10000, Approx. E[load]=(k/(1+k))=0.981132, Kmax(Number of Deletions)=5000000
#m n K freeFraction successful-search unsuccessful-search insertion timeavg-insertion timeavg-load k elapsed-sec
10000 0.0592 1 0.9408 1.03041 1.0051 1.0051 1.03035 0 52 0
10000 0.9776 500001 0 1667.42 10000 587.049 1137.02 0 52 1
10000 0.9813 1000001 0 2093.98 10000 2414.24 1979.57 0 52 4
10000 0.9783 1500001 0 2049.33 10000 2751.92 2087.77 0 52 7
10000 0.9811 2000001 0 2054.49 10000 4111.75 2083.32 0 52 10
10000 0.9791 2500001 0 2005.38 10000 719.411 2074.41 0 52 13
10000 0.9829 3000001 0 2163.44 10000 2326.06 2137.32 0 52 17
10000 0.9825 3500001 0 2142.45 10000 3911.25 2147.97 0 52 20
10000 0.982 4000001 0 2206.36 10000 4606.05 2128.58 0 52 23
10000 0.9827 4500001 0 2035.33 10000 1973.89 2129.74 0 52 26
10000 0.9808 4999999 0 2125.3 10000 1828.79 2095.54 0.981087 52 29
