k = 23
# m = 10000, Approx. E[load]=(k/(1+k))=0.958333, Kmax(Number of Deletions)=5000000
#m n K freeFraction successful-search unsuccessful-search insertion timeavg-insertion timeavg-load k elapsed-sec
10000 0.0592 1 0.9408 1.02872 1.0066 1.0066 1.02867 0 23 0
10000 0.9556 500001 0 195.085 10000 234.373 186.413 0 23 0
10000 0.9582 1000001 0 198.87 10000 211.299 203.898 0 23 0
10000 0.9563 1500001 0 255.53 10000 169.449 226.187 0 23 1
10000 0.9579 2000001 0 176.108 10000 150.555 215.991 0 23 1
10000 0.958 2500001 0 180.764 10000 125.124 195.595 0 23 1
10000 0.9615 3000001 0 200.985 10000 306.809 197.604 0 23 2
10000 0.9571 3500001 0 206.947 10000 178.346 202.25 0 23 2
10000 0.9596 4000001 0 202.651 10000 195.685 215.08 0 23 2
10000 0.9602 4500001 0 181.493 10000 213.835 218.95 0 23 3
10000 0.9593 4999999 0 174.954 10000 157.794 208.345 0.958308 23 3
