k = 100
# m = 10000, Approx. E[load]=(k/(1+k))=0.990099, Kmax(Number of Deletions)=5000000
#m n K freeFraction successful-search unsuccessful-search insertion timeavg-insertion timeavg-load k elapsed-sec
10000 0.0592 1 0.9408 1.03041 1.0042 1.0042 1.03035 0 100 0
10000 0.9882 500001 0 2347.78 10000 2543.26 1585.2 0 100 2
10000 0.9905 1000001 0 3717.55 10000 4567.2 3122.96 0 100 6
10000 0.9883 1500001 0 4211.63 10000 4862.47 4034.37 0 100 11
10000 0.9905 2000001 0 4468.64 10000 3788.25 4354.24 0 100 18
10000 0.9887 2500001 0 4476.36 10000 4877.28 4474.71 0 100 24
10000 0.9906 3000001 0 4470.23 10000 4798.85 4490.68 0 100 30
10000 0.9917 3500001 0 4493.12 10000 2752.5 4498.09 0 100 36
10000 0.9902 4000001 0 4460.08 10000 4898.04 4493.95 0 100 44
10000 0.99 4500001 0 4455.27 10000 2727.79 4487.53 0 100 50
10000 0.9904 4999999 0 4445.56 10000 3294.07 4478.39 0.99005 100 57
