k = 130
# m = 10000, Approx. E[load]=(k/(1+k))=0.992366, Kmax(Number of Deletions)=5000000
#m n K freeFraction successful-search unsuccessful-search insertion timeavg-insertion timeavg-load k elapsed-sec
10000 0.0592 1 0.9408 1.03209 1.0044 1.0044 1.03204 0 130 0
10000 0.9908 500001 0 2728.18 10000 2043.38 1811.88 0 130 2
10000 0.9928 1000001 0 3600.61 10000 4922.81 3273.76 0 130 7
10000 0.991 1500001 0 3322.41 10000 4882.22 3506.09 0 130 12
10000 0.9931 2000001 0 3397.47 10000 2310.65 3185.77 0 130 17
10000 0.9908 2500001 0 3970.91 10000 4901.99 3732.23 0 130 22
10000 0.9924 3000001 0 4318.54 10000 4845.04 4190.36 0 130 28
10000 0.9935 3500001 0 4512.38 10000 4934.72 4436.99 0 130 34
10000 0.9919 4000001 0 4643.11 10000 4917.85 4600.46 0 130 40
10000 0.9921 4500001 0 4771.28 10000 4919.83 4682.86 0 130 47
10000 0.9923 4999999 0 4761.15 10000 4922.81 4761.4 0.992319 130 53
