k = 4
# m = 10000, Approx. E[load]=(k/(1+k))=0.8, Kmax(Number of Deletions)=5000000
#m n K freeFraction successful-search unsuccessful-search insertion timeavg-insertion timeavg-load k elapsed-sec
10000 0.0135 1 0.9865 1 1.0002 1.0002 1 0 4 0
10000 0.8034 500001 0.0184 11.8455 198.442 11.8394 11.2209 0 4 0
10000 0.8016 1000001 0.0187 9.94636 216.699 9.4586 11.2477 0 4 0
10000 0.7991 1500001 0.0197 11.4585 219.617 10.0891 11.272 0 4 0
10000 0.8047 2000001 0.0148 11.7922 272.309 10.7067 11.398 0 4 0
10000 0.8036 2500001 0.022 11.6177 203.899 10.3819 11.3044 0 4 0
10000 0.8076 3000001 0.0212 12.188 228.621 12.0574 11.1979 0 4 0
10000 0.7948 3500001 0.0202 11.6468 193.341 8.87 11.215 0 4 0
10000 0.7988 4000001 0.0221 11.193 180.707 10.4816 11.2896 0 4 0
10000 0.8046 4500001 0.0227 12.9009 231.058 10.6498 11.3981 0 4 0
10000 0.7984 4999999 0.0176 11.1966 255.675 10.1691 11.4642 0.799936 4 0
