k = 126
# m = 10000, Approx. E[load]=(k/(1+k))=0.992126, Kmax(Number of Deletions)=5000000
#m n K freeFraction successful-search unsuccessful-search insertion timeavg-insertion timeavg-load k elapsed-sec
10000 0.0592 1 0.9408 1.03209 1.0043 1.0043 1.03204 0 126 0
10000 0.9907 500001 0 2937.44 10000 1228.95 1845.22 0 126 3
10000 0.9926 1000001 0 3350.43 10000 4816.32 3264.67 0 126 7
10000 0.9908 1500001 0 4075.52 10000 4902.99 3618.43 0 126 13
10000 0.9927 2000001 0 4477.79 10000 4915.87 4290.13 0 126 19
10000 0.9904 2500001 0 4719.19 10000 1737.27 4609.86 0 126 26
10000 0.9923 3000001 0 4716.73 10000 4919.83 4708.66 0 126 32
10000 0.9934 3500001 0 4822.16 10000 4232.15 4759.6 0 126 38
10000 0.9917 4000001 0 4815.29 10000 4480.84 4781.88 0 126 45
10000 0.9919 4500001 0 4788.86 10000 4916.86 4789.2 0 126 52
10000 0.9922 4999999 0 4769.22 10000 4921.82 4781.39 0.992078 126 59
