k = 94
# m = 10000, Approx. E[load]=(k/(1+k))=0.989474, Kmax(Number of Deletions)=5000000
#m n K freeFraction successful-search unsuccessful-search insertion timeavg-insertion timeavg-load k elapsed-sec
10000 0.0592 1 0.9408 1.03209 1.0041 1.0041 1.03204 0 94 0
10000 0.9877 500001 0 1945.56 10000 1618.46 1522.89 0 94 2
10000 0.9896 1000001 0 3445.63 10000 3702.4 2789.76 0 94 5
10000 0.9876 1500001 0 3948.86 10000 4587.48 3750.92 0 94 10
10000 0.9901 2000001 0 4201.66 10000 4650.48 4107.7 0 94 16
10000 0.9879 2500001 0 4298.63 10000 2246.95 4263.08 0 94 22
10000 0.9898 3000001 0 4360.99 10000 2894.83 4347.64 0 94 27
10000 0.9913 3500001 0 4390.39 10000 4839.88 4369.38 0 94 33
10000 0.9897 4000001 0 4376.32 10000 4829.1 4364.61 0 94 39
10000 0.9897 4500001 0 4357.47 10000 2482.21 4378.79 0 94 45
10000 0.9898 4999999 0 4328.98 10000 4887.16 4355.47 0.989427 94 51
