k = 67
# m = 10000, Approx. E[load]=(k/(1+k))=0.985294, Kmax(Number of Deletions)=5000000
#m n K freeFraction successful-search unsuccessful-search insertion timeavg-insertion timeavg-load k elapsed-sec
10000 0.0592 1 0.9408 1.03378 1.0051 1.0051 1.03373 0 67 0
10000 0.9824 500001 0 2354.93 10000 4493.06 1463.23 0 67 2
10000 0.986 1000001 0 3107.95 10000 3786.63 2791.52 0 67 5
10000 0.9817 1500001 0 3246.21 10000 2670.14 3174.28 0 67 9
10000 0.9849 2000001 0 3240.8 10000 1196.71 3251.44 0 67 13
10000 0.9836 2500001 0 3294.2 10000 4783.91 3311.45 0 67 17
10000 0.9866 3000001 0 3330.38 10000 2680.02 3307.42 0 67 21
10000 0.9881 3500001 0 3313.87 10000 4788.88 3295.61 0 67 26
10000 0.9863 4000001 0 3212.7 10000 3484.29 3251.78 0 67 30
10000 0.9862 4500001 0 3325.08 10000 1897.12 3269.44 0 67 34
10000 0.9856 4999999 0 3391.25 10000 3960.35 3355.96 0.985253 67 38
