k = 74
# m = 10000, Approx. E[load]=(k/(1+k))=0.986667, Kmax(Number of Deletions)=5000000
#m n K freeFraction successful-search unsuccessful-search insertion timeavg-insertion timeavg-load k elapsed-sec
10000 0.0592 1 0.9408 1.03209 1.0051 1.0051 1.03204 0 74 0
10000 0.9838 500001 0 2086.04 10000 1230.34 1207.23 0 74 1
10000 0.987 1000001 0 3217.51 10000 4517.3 2789.51 0 74 5
10000 0.9832 1500001 0 3456.22 10000 4722.59 3365.23 0 74 9
10000 0.9862 2000001 0 3599.21 10000 4682.2 3536.94 0 74 14
10000 0.985 2500001 0 3684.03 10000 3945.62 3653.83 0 74 18
10000 0.9877 3000001 0 3665.68 10000 4562.21 3695.96 0 74 23
10000 0.9891 3500001 0 3688.16 10000 3596.88 3697.35 0 74 27
10000 0.9882 4000001 0 3655.01 10000 1559.43 3681.75 0 74 32
10000 0.9873 4500001 0 3691.12 10000 1740.12 3732.36 0 74 37
10000 0.9868 4999999 0 3684.5 10000 2421.7 3698.78 0.986622 74 41
