k = 70
# m = 10000, Approx. E[load]=(k/(1+k))=0.985915, Kmax(Number of Deletions)=5000000
#m n K freeFraction successful-search unsuccessful-search insertion timeavg-insertion timeavg-load k elapsed-sec
10000 0.0592 1 0.9408 1.03378 1.0051 1.0051 1.03373 0 70 0
10000 0.9827 500001 0 2482.18 10000 1015.22 1491.46 0 70 2
10000 0.9864 1000001 0 3289.49 10000 1955.64 2951.69 0 70 5
10000 0.9822 1500001 0 3404.23 10000 2542.8 3378.24 0 70 10
10000 0.9854 2000001 0 3468.84 10000 687.374 3476.1 0 70 14
10000 0.9846 2500001 0 3597.53 10000 3750.83 3491.64 0 70 18
10000 0.987 3000001 0 3466.3 10000 3961.38 3508.97 0 70 23
10000 0.9885 3500001 0 3457.62 10000 3502.85 3482.94 0 70 27
10000 0.9873 4000001 0 3485.76 10000 4660.15 3486.51 0 70 31
10000 0.9867 4500001 0 3462.75 10000 3718.47 3491.75 0 70 36
10000 0.9862 4999999 0 3458.78 10000 4709.06 3471.56 0.985872 70 40
