k = 31
# m = 10000, Approx. E[load]=(k/(1+k))=0.96875, Kmax(Number of Deletions)=5000000
#m n K freeFraction successful-search unsuccessful-search insertion timeavg-insertion timeavg-load k elapsed-sec
10000 0.0592 1 0.9408 1.02534 1.0054 1.0054 1.0253 0 31 0
10000 0.9648 500001 0 390.827 10000 354.199 301.55 0 31 0
10000 0.9695 1000001 0 428.578 10000 389.648 459.22 0 31 1
10000 0.9655 1500001 0 557.194 10000 811.407 504.017 0 31 2
10000 0.969 2000001 0 510.155 10000 418.721 522.631 0 31 2
10000 0.9659 2500001 0 560.342 10000 261.976 506.737 0 31 3
10000 0.9711 3000001 0 517.584 10000 639.777 492.161 0 31 4
10000 0.9671 3500001 0 531.226 10000 615.987 481.916 0 31 4
10000 0.9701 4000001 0 484.796 10000 711.584 504.644 0 31 5
10000 0.9714 4500001 0 508.456 10000 444.357 502.991 0 31 6
10000 0.9675 4999999 0 469.283 10000 320.897 512.181 0.968719 31 6
