k = 45
# m = 10000, Approx. E[load]=(k/(1+k))=0.978261, Kmax(Number of Deletions)=5000000
#m n K freeFraction successful-search unsuccessful-search insertion timeavg-insertion timeavg-load k elapsed-sec
10000 0.0592 1 0.9408 1.02365 1.0048 1.0048 1.02361 0 45 0
10000 0.9738 500001 0 1302.48 10000 1033.96 819.448 0 45 1
10000 0.9776 1000001 0 1393.05 10000 368.743 1315.87 0 45 2
10000 0.9747 1500001 0 1378.57 10000 762.472 1391.06 0 45 4
10000 0.9787 2000001 0 1393.97 10000 1257.89 1383.24 0 45 6
10000 0.9764 2500001 0 1289.64 10000 511.964 1394.18 0 45 8
10000 0.9802 3000001 0 1323.41 10000 566.765 1340.65 0 45 9
10000 0.9789 3500001 0 1357.17 10000 1450.33 1296.37 0 45 11
10000 0.979 4000001 0 1238.98 10000 658.178 1304.44 0 45 13
10000 0.9796 4500001 0 1421.59 10000 858.634 1356.84 0 45 14
10000 0.9774 4999999 0 1467.55 10000 1983.12 1463.7 0.978217 45 17
