k = 136
# m = 10000, Approx. E[load]=(k/(1+k))=0.992701, Kmax(Number of Deletions)=5000000
#m n K freeFraction successful-search unsuccessful-search insertion timeavg-insertion timeavg-load k elapsed-sec
10000 0.0592 1 0.9408 1.03209 1.0044 1.0044 1.03204 0 136 0
10000 0.9914 500001 0 2722.53 10000 1694.18 1941.73 0 136 2
10000 0.9932 1000001 0 3543.6 10000 4068.53 3130.69 0 136 6
10000 0.9916 1500001 0 3369.36 10000 4907.94 3506.06 0 136 11
10000 0.9933 2000001 0 4108.4 10000 3089.82 3818.78 0 136 16
10000 0.991 2500001 0 4586.11 10000 4903.98 4389.73 0 136 21
10000 0.9929 3000001 0 4762 10000 4915.87 4702.66 0 136 27
10000 0.9938 3500001 0 4797.8 10000 4271.46 4789.71 0 136 33
10000 0.9923 4000001 0 4844.33 10000 4867.56 4819.24 0 136 39
10000 0.9925 4500001 0 4842.9 10000 4925.78 4832.23 0 136 45
10000 0.9926 4999999 0 4791.71 10000 4926.78 4824.7 0.992655 136 51
