k = 1
# m=1000000, E[load]=(k/(1+k))=0.5, Kmax(sim. dels.)=4194304
#m n K freeFraction successful-search unsuccessful-search timeavg-insertion timeavg-load k
1000000 0.000592 1 0.999408 1 1.00059 1 0 1
1000000 0.00132 2 0.99868 1.00076 1.00132 1.00137 0 1
1000000 0.002139 4 0.997861 1.00094 1.00214 1.00122 0 1
1000000 0.002759 8 0.997241 1.00072 1.00276 1 0 1
1000000 0.005512 16 0.994488 1.00254 1.00555 1.00435 0 1
1000000 0.008296 32 0.991704 1.00434 1.0084 1.00786 0 1
1000000 0.011262 64 0.988738 1.00613 1.01145 1.01101 0 1
1000000 0.016075 128 0.983924 1.00921 1.01647 1.0162 0 1
1000000 0.022815 256 0.977182 1.01166 1.02361 1.01718 0 1
1000000 0.031749 512 0.968241 1.01688 1.03332 1.02938 0 1
1000000 0.044185 1024 0.955792 1.02347 1.04727 1.03877 0 1
1000000 0.062317 2048 0.937608 1.03413 1.06881 1.05695 0 1
1000000 0.085919 4096 0.913868 1.04958 1.09884 1.08339 0 1
1000000 0.117167 8192 0.882252 1.07214 1.14295 1.1194 0 1
1000000 0.158771 16384 0.839618 1.10702 1.21146 1.17379 0 1
1000000 0.213904 32768 0.781937 1.16326 1.32416 1.25634 0 1
1000000 0.280888 65536 0.708652 1.25517 1.51488 1.38507 0 1
1000000 0.353753 131072 0.621374 1.40576 1.85013 1.57069 0 1
1000000 0.424686 262144 0.521291 1.6654 2.4957 1.84184 0 1
1000000 0.476175 524288 0.425686 2.04885 3.65537 2.13941 0 1
1000000 0.498541 1048576 0.369151 2.37061 4.78538 2.36306 0 1
1000000 0.499405 2097152 0.362569 2.43477 4.99156 2.42724 0 1
1000000 0.500128 4194303 0.360922 2.42778 5.006 2.43127 0.500407 1
