k = 3
# m=1000000, E[load]=(k/(1+k))=0.75, Kmax(sim. dels.)=4194304
#m n K freeFraction successful-search unsuccessful-search timeavg-insertion timeavg-load k
1000000 0.000592 1 0.999408 1 1.00059 1 0 3
1000000 0.00241 2 0.99759 1.00083 1.00242 1.0011 0 3
1000000 0.004384 4 0.995616 1.00205 1.00441 1.00354 0 3
1000000 0.007276 8 0.992724 1.00261 1.00735 1.00345 0 3
1000000 0.010272 16 0.989728 1.0037 1.01042 1.00632 0 3
1000000 0.013298 32 0.986702 1.00549 1.01355 1.01151 0 3
1000000 0.020017 64 0.979983 1.00879 1.02061 1.01526 0 3
1000000 0.027402 128 0.972597 1.01288 1.02857 1.02376 0 3
1000000 0.038498 256 0.961497 1.01969 1.04084 1.03608 0 3
1000000 0.053701 512 0.946284 1.02892 1.05842 1.05143 0 3
1000000 0.077584 1024 0.92237 1.04216 1.08777 1.07042 0 3
1000000 0.104494 2048 0.895366 1.06051 1.12404 1.10929 0 3
1000000 0.14344 4096 0.856173 1.08652 1.18268 1.14868 0 3
1000000 0.198136 8192 0.800807 1.1293 1.28118 1.22493 0 3
1000000 0.271593 16384 0.725648 1.20233 1.45483 1.36046 0 3
1000000 0.361671 32768 0.631388 1.32068 1.76834 1.57689 0 3
1000000 0.464996 65536 0.517914 1.52581 2.40823 1.95729 0 3
1000000 0.577414 131072 0.383821 1.9262 3.99266 2.6728 0 3
1000000 0.674614 262144 0.246263 2.74527 8.47951 3.96651 0 3
1000000 0.733441 524288 0.129677 4.35558 22.6744 5.60617 0 3
1000000 0.749201 1048576 0.064422 6.55132 55.3997 6.81341 0 3
1000000 0.749058 2097152 0.053116 7.40487 71.9079 7.35398 0 3
1000000 0.750753 4194303 0.050781 7.62945 76.0212 7.59934 0.750293 3
