k = 9
# m=1000000, E[load]=(k/(1+k))=0.9, Kmax(sim. dels.)=2097152
#m n K freeFraction successful-search unsuccessful-search timeavg-insertion timeavg-load k
1000000 0.006792 1 0.993208 1.00368 1.00687 1.00368 0 9
1000000 0.0098 2 0.9902 1.0049 1.00995 1.00764 0 9
1000000 0.011613 4 0.988387 1.00611 1.01183 1.01267 0 9
1000000 0.01549 8 0.98451 1.00762 1.01588 1.01211 0 9
1000000 0.019526 16 0.980474 1.01004 1.02013 1.01929 0 9
1000000 0.023868 32 0.976132 1.01223 1.02478 1.02203 0 9
1000000 0.0347 64 0.965299 1.01752 1.03658 1.02909 0 9
1000000 0.048925 128 0.951073 1.02506 1.05274 1.04325 0 9
1000000 0.069391 256 0.930597 1.03609 1.07724 1.06206 0 9
1000000 0.095715 512 0.904248 1.05224 1.11143 1.09391 0 9
1000000 0.130496 1024 0.869415 1.07455 1.16123 1.13396 0 9
1000000 0.17957 2048 0.820203 1.10936 1.24287 1.19785 0 9
1000000 0.245982 4096 0.753414 1.1646 1.37995 1.30469 0 9
1000000 0.335485 8192 0.662932 1.25724 1.63652 1.48968 0 9
1000000 0.441849 16384 0.553989 1.41437 2.13236 1.84577 0 9
1000000 0.566682 32768 0.423284 1.7102 3.31738 2.55628 0 9
1000000 0.699689 65536 0.278645 2.34369 6.89518 4.25375 0 9
1000000 0.81468 131072 0.145231 3.86037 20.756 8.74155 0 9
1000000 0.881795 262144 0.054608 7.4092 82.2395 17.9385 0 9
1000000 0.899223 524288 0.012764 14.3822 371.321 24.6259 0 9
1000000 0.899652 1048576 0.00144 25.4159 2673.63 26.7204 0 9
1000000 0.899563 2097151 0.000703 31.3938 4489.11 31.0937 0.89969 9
