k = 5
# m=1000000, E[load]=(k/(1+k))=0.833333, Kmax(sim. dels.)=4194304
#m n K freeFraction successful-search unsuccessful-search timeavg-insertion timeavg-load k
1000000 0.000592 1 0.999408 1.00169 1.00059 1.00169 0 5
1000000 0.004989 2 0.995011 1.00381 1.00503 1.00409 0 5
1000000 0.006786 4 0.993214 1.00354 1.00685 1.00278 0 5
1000000 0.01003 8 0.989969 1.00598 1.01018 1.01108 0 5
1000000 0.01252 16 0.987478 1.00751 1.01276 1.01361 0 5
1000000 0.017882 32 0.982116 1.0104 1.01837 1.01711 0 5
1000000 0.023753 64 0.976245 1.0136 1.02466 1.02321 0 5
1000000 0.03386 128 0.966134 1.01849 1.03568 1.02979 0 5
1000000 0.048658 256 0.951326 1.02557 1.05249 1.0414 0 5
1000000 0.070114 512 0.929856 1.03742 1.07827 1.06361 0 5
1000000 0.096568 1024 0.903359 1.05317 1.11261 1.09312 0 5
1000000 0.133032 2048 0.866782 1.07797 1.16569 1.13972 0 5
1000000 0.184091 4096 0.815426 1.11583 1.25263 1.20639 0 5
1000000 0.254303 8192 0.744403 1.17795 1.40342 1.32239 0 5
1000000 0.343484 16384 0.653168 1.2808 1.67936 1.52692 0 5
1000000 0.449725 32768 0.541812 1.45266 2.22388 1.87721 0 5
1000000 0.57079 65536 0.409314 1.78264 3.53489 2.59133 0 5
1000000 0.69143 131072 0.266411 2.48788 7.39758 4.16644 0 5
1000000 0.783918 262144 0.13832 4.02762 20.9681 7.17323 0 5
1000000 0.826928 524288 0.051817 7.22412 74.925 10.7796 0 5
1000000 0.832851 1048576 0.014906 11.9959 265.278 12.6806 0 5
1000000 0.832859 2097152 0.01061 14.1882 386.154 14.0609 0 5
1000000 0.833779 4194303 0.008445 15.4527 486.769 15.1995 0.833556 5
