k = 21
# m=1000000, E[load]=(k/(1+k))=0.954545, Kmax(sim. dels.)=2097152
#m n K freeFraction successful-search unsuccessful-search timeavg-insertion timeavg-load k
1000000 0.006792 1 0.993208 1.00324 1.00686 1.00324 0 21
1000000 0.0098 2 0.9902 1.005 1.00994 1.00897 0 21
1000000 0.015498 4 0.984502 1.00697 1.01583 1.01035 0 21
1000000 0.018873 8 0.981127 1.00842 1.01937 1.01509 0 21
1000000 0.025998 16 0.974002 1.01308 1.02701 1.02538 0 21
1000000 0.035866 32 0.964134 1.01835 1.03784 1.03217 0 21
1000000 0.053841 64 0.946156 1.02743 1.05844 1.04548 0 21
1000000 0.07768 128 0.922313 1.04154 1.08772 1.07321 0 21
1000000 0.100535 256 0.899448 1.05476 1.118 1.09912 0 21
1000000 0.138381 512 0.861571 1.07924 1.17341 1.14333 0 21
1000000 0.192098 1024 0.807787 1.11809 1.26558 1.2161 0 21
1000000 0.263189 2048 0.736482 1.17801 1.42044 1.33509 0 21
1000000 0.360439 4096 0.638666 1.28461 1.72511 1.56134 0 21
1000000 0.47555 8192 0.522185 1.4628 2.33562 1.98592 0 21
1000000 0.609033 16384 0.385775 1.80789 3.86769 2.92007 0 21
1000000 0.750445 32768 0.238645 2.61042 9.12476 5.54342 0 21
1000000 0.86961 65536 0.111483 4.82002 35.8864 14.9211 0 21
1000000 0.936848 131072 0.036383 10.9834 202.595 46.4789 0 21
1000000 0.953867 262144 0.008739 22.7248 913.487 78.0179 0 21
1000000 0.954462 524288 0.000922 42.1921 4795.18 72.6564 0 21
1000000 0.954551 1048576 2.4e-05 76.5398 134462 78.4289 0 21
1000000 0.954343 2097151 2e-06 94.2391 500000 93.9569 0.954387 21
