k = 2
# m=1000000, E[load]=(k/(1+k))=0.666667, Kmax(sim. dels.)=4194304
#m n K freeFraction successful-search unsuccessful-search timeavg-insertion timeavg-load k
1000000 0.000592 1 0.999408 1 1.00059 1 0 2
1000000 0.002143 2 0.997857 1.0014 1.00215 1.00193 0 2
1000000 0.002617 4 0.997383 1.00267 1.00263 1.0084 0 2
1000000 0.005443 8 0.994557 1.00239 1.00549 1.00212 0 2
1000000 0.007643 16 0.992357 1.00366 1.00774 1.00679 0 2
1000000 0.01119 32 0.98881 1.00572 1.01139 1.0101 0 2
1000000 0.015647 64 0.984353 1.00831 1.01602 1.0147 0 2
1000000 0.022537 128 0.977462 1.0118 1.02331 1.01956 0 2
1000000 0.031441 256 0.968554 1.01702 1.03303 1.02978 0 2
1000000 0.044157 512 0.955831 1.0236 1.04733 1.03908 0 2
1000000 0.062098 1024 0.93786 1.0335 1.06848 1.05625 0 2
1000000 0.087322 2048 0.912559 1.04889 1.10056 1.08347 0 2
1000000 0.118236 4096 0.881454 1.06948 1.14389 1.11996 0 2
1000000 0.162543 8192 0.836605 1.1034 1.21558 1.17796 0 2
1000000 0.222579 16384 0.775202 1.15765 1.33563 1.26952 0 2
1000000 0.299748 32768 0.694461 1.24445 1.54663 1.41288 0 2
1000000 0.389643 65536 0.595749 1.39453 1.94018 1.66948 0 2
1000000 0.488386 131072 0.47767 1.66685 2.78497 2.09106 0 2
1000000 0.580654 262144 0.346663 2.18709 4.87939 2.77828 0 2
1000000 0.642527 524288 0.223843 3.13623 10.1069 3.65785 0 2
1000000 0.665149 1048576 0.147448 4.26669 19.6813 4.34643 0 2
1000000 0.665916 2097152 0.133862 4.62768 22.7608 4.60325 0 2
1000000 0.667148 4194303 0.132684 4.64475 22.9852 4.65717 0.667001 2
