k = 10
# m=1000000, E[load]=(k/(1+k))=0.909091, Kmax(sim. dels.)=2097152
#m n K freeFraction successful-search unsuccessful-search timeavg-insertion timeavg-load k
1000000 0.006792 1 0.993208 1.00427 1.00688 1.00427 0 10
1000000 0.0098 2 0.9902 1.00551 1.00996 1.00831 0 10
1000000 0.011613 4 0.988387 1.00594 1.01183 1.00826 0 10
1000000 0.015731 8 0.984269 1.0082 1.01613 1.01456 0 10
1000000 0.020638 16 0.979362 1.00993 1.02128 1.01546 0 10
1000000 0.025804 32 0.974195 1.01271 1.02682 1.02374 0 10
1000000 0.036238 64 0.963761 1.01796 1.03828 1.03086 0 10
1000000 0.051857 128 0.948137 1.02707 1.0562 1.04801 0 10
1000000 0.073809 256 0.926181 1.03887 1.08278 1.06635 0 10
1000000 0.099397 512 0.900563 1.05474 1.11643 1.09952 0 10
1000000 0.136319 1024 0.863576 1.07822 1.17014 1.13953 0 10
1000000 0.187673 2048 0.812083 1.11629 1.25791 1.21314 0 10
1000000 0.257861 4096 0.741475 1.1756 1.40885 1.32478 0 10
1000000 0.351037 8192 0.647244 1.27658 1.69424 1.53294 0 10
1000000 0.460478 16384 0.535199 1.44733 2.25354 1.9266 0 10
1000000 0.588477 32768 0.401264 1.77405 3.62591 2.73098 0 10
1000000 0.723195 65536 0.255254 2.50638 8.04194 4.79476 0 10
1000000 0.834299 131072 0.126778 4.27888 26.4891 10.3617 0 10
1000000 0.894813 262144 0.044886 8.40752 107.702 21.5048 0 10
1000000 0.908684 524288 0.009499 16.3373 504.979 28.2931 0 10
1000000 0.908825 1048576 0.00087 29.0242 4015.38 30.4313 0 10
1000000 0.908836 2097151 0.000399 35.9953 8136.46 35.7226 0.908804 10
