k = 4
# m=1000000, E[load]=(k/(1+k))=0.8, Kmax(sim. dels.)=4194304
#m n K freeFraction successful-search unsuccessful-search timeavg-insertion timeavg-load k
1000000 0.000592 1 0.999408 1 1.00059 1 0 4
1000000 0.004242 2 0.995758 1.00283 1.00427 1.00329 0 4
1000000 0.005451 4 0.994549 1.00404 1.0055 1.00826 0 4
1000000 0.009788 8 0.990212 1.00501 1.00992 1.00622 0 4
1000000 0.012324 16 0.987676 1.00584 1.01254 1.00904 0 4
1000000 0.016086 32 0.983913 1.00895 1.01649 1.01906 0 4
1000000 0.022636 64 0.977362 1.01268 1.02345 1.02173 0 4
1000000 0.031517 128 0.96848 1.01786 1.03312 1.03086 0 4
1000000 0.043867 256 0.956125 1.02489 1.047 1.04239 0 4
1000000 0.062721 512 0.937264 1.03503 1.06927 1.05782 0 4
1000000 0.087823 1024 0.912115 1.04962 1.10123 1.08437 0 4
1000000 0.120185 2048 0.87964 1.06948 1.14637 1.1196 0 4
1000000 0.165204 4096 0.83433 1.10184 1.21914 1.18027 0 4
1000000 0.228968 8192 0.769874 1.15606 1.34641 1.27906 0 4
1000000 0.310891 16384 0.686015 1.24325 1.56844 1.44384 0 4
1000000 0.410295 32768 0.581801 1.38873 1.99361 1.72827 0 4
1000000 0.52366 65536 0.457527 1.65449 2.93876 2.266 0 4
1000000 0.641337 131072 0.31763 2.19881 5.50676 3.36571 0 4
1000000 0.737883 262144 0.182264 3.35628 13.7318 5.41486 0 4
1000000 0.789443 524288 0.08018 5.71582 42.856 7.9788 0 4
1000000 0.79946 1048576 0.030135 9.16567 127.861 9.64996 0 4
1000000 0.7994 2097152 0.02302 10.633 177.546 10.5247 0 4
1000000 0.800517 4194303 0.020396 11.2887 199.003 11.1805 0.800253 4
