k = 24
# m=1000000, E[load]=(k/(1+k))=0.96, Kmax(sim. dels.)=2097152
#m n K freeFraction successful-search unsuccessful-search timeavg-insertion timeavg-load k
1000000 0.006792 1 0.993208 1.00265 1.00684 1.00265 0 24
1000000 0.0098 2 0.9902 1.00367 1.00992 1.00598 0 24
1000000 0.015498 4 0.984502 1.00665 1.01582 1.01175 0 24
1000000 0.018873 8 0.981127 1.0089 1.01938 1.01924 0 24
1000000 0.02644 16 0.97356 1.01282 1.02748 1.02257 0 24
1000000 0.036051 32 0.963948 1.01828 1.03806 1.03324 0 24
1000000 0.057481 64 0.942517 1.02973 1.06281 1.04892 0 24
1000000 0.080822 128 0.919172 1.04324 1.09172 1.07631 0 24
1000000 0.105825 256 0.894159 1.05767 1.12524 1.10378 0 24
1000000 0.144977 512 0.854978 1.08472 1.18386 1.15682 0 24
1000000 0.201852 1024 0.798009 1.12593 1.28471 1.2289 0 24
1000000 0.278972 2048 0.720672 1.19242 1.46061 1.36167 0 24
1000000 0.379805 4096 0.619261 1.30861 1.80184 1.61759 0 24
1000000 0.497627 8192 0.500073 1.5045 2.50385 2.09796 0 24
1000000 0.635124 16384 0.359604 1.90236 4.37398 3.2112 0 24
1000000 0.776758 32768 0.212463 2.85704 11.2762 6.50437 0 24
1000000 0.890705 65536 0.09163 5.66717 51.2924 19.5138 0 24
1000000 0.947824 131072 0.027737 13.3888 304.374 62.9039 0 24
1000000 0.959659 262144 0.006281 27.3194 1333.93 95.8251 0 24
1000000 0.95998 524288 0.000562 50.5398 7669.79 86.8517 0 24
1000000 0.959825 1048576 1.2e-05 91.062 168221 92.3501 0 24
1000000 0.959865 2097151 1e-06 111.864 500000 111.909 0.959854 24
