k = 19
# m=1000000, E[load]=(k/(1+k))=0.95, Kmax(sim. dels.)=2097152
#m n K freeFraction successful-search unsuccessful-search timeavg-insertion timeavg-load k
1000000 0.006792 1 0.993208 1.00412 1.00687 1.00412 0 19
1000000 0.0098 2 0.9902 1.00571 1.00996 1.00931 0 19
1000000 0.015498 4 0.984502 1.00852 1.01586 1.01333 0 19
1000000 0.018635 8 0.981365 1.00982 1.01915 1.01624 0 19
1000000 0.025792 16 0.974208 1.01283 1.02677 1.02066 0 19
1000000 0.034881 32 0.965119 1.01809 1.03676 1.03295 0 19
1000000 0.049908 64 0.95009 1.02617 1.05384 1.04482 0 19
1000000 0.071093 128 0.9289 1.03722 1.07936 1.06306 0 19
1000000 0.096258 256 0.903724 1.05217 1.11205 1.09394 0 19
1000000 0.13175 512 0.868213 1.07447 1.16312 1.13399 0 19
1000000 0.182595 1024 0.817289 1.11103 1.24788 1.20375 0 19
1000000 0.251517 2048 0.748172 1.16743 1.39191 1.31221 0 19
1000000 0.345455 4096 0.653697 1.2666 1.66949 1.52088 0 19
1000000 0.45763 8192 0.540246 1.43094 2.21575 1.90423 0 19
1000000 0.58777 16384 0.407158 1.74033 3.52935 2.72078 0 19
1000000 0.728689 32768 0.260429 2.4397 7.79294 4.90556 0 19
1000000 0.852245 65536 0.128232 4.30256 27.7654 12.3048 0 19
1000000 0.926992 131072 0.044381 9.49005 148.193 37.0911 0 19
1000000 0.948626 262144 0.01111 19.7857 693.399 66.3968 0 19
1000000 0.94978 524288 0.001299 36.9323 3596.66 63.817 0 19
1000000 0.949924 1048576 4.7e-05 67.0163 74217.5 69.0136 0 19
1000000 0.949887 2097151 2e-06 82.2154 499998 81.9611 0.949828 19
